network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,LBN,Topo
2,48,64,46.41770694997787,638.3642425537109,9120,64,64,46.69073144252952,1381.272243923611,8934,22748,93.1084383925074,2,4x9
2,48,64,29.1887317670638,8953.940948486328,19917,64,64,50.592686991471425,978.2604321676587,6581,36083,79.78141875853522,2,5x4
2,48,64,30.026229883740907,9087.86489868164,18719,64,64,47.29185375240539,957.2462177579365,8305,35081,77.3180836361463,2,4x5
2,48,64,37.72534628530311,864.7741546630859,12139,64,64,37.42809485822032,2010.236312624008,13909,27953,75.15344114352342,2,9x4
2,48,64,33.277562678514755,7066.09489440918,14553,64,64,49.025933314334566,1164.0895492311508,7935,31670,82.30349599284932,3,5x4
2,48,64,48.1152663699353,545.8768920898438,6510,64,64,50.02626859884651,1413.2276630704366,7444,21951,98.1415349687818,3,4x9
2,48,64,29.288196190156974,7939.205764770508,19061,64,64,46.56015156299337,1161.4189918154761,8542,35961,75.84834775315034,3,4x5
2,48,64,37.09672397933914,983.8881530761719,13876,64,64,40.66790118592648,2030.7235863095239,11907,28424,77.76462516526561,3,9x4
2,48,64,28.669200273410798,8862.728439331055,20808,64,64,52.552925003818544,916.9799572172619,6647,36735,81.22212527722934,4,5x4
2,48,64,46.41359773371105,632.858642578125,9504,64,64,50.155102040816324,1353.810283358135,6888,22750,96.56869977452737,4,4x9
2,48,64,30.525341329218946,8639.403564453125,17383,64,64,50.82686625960213,917.2020089285714,7067,60000,81.35220758882107,4,4x5
2,48,64,44.614559843424246,636.3570556640625,9763,64,64,48.01116330992139,1859.9813678075398,8385,23671,92.62572315334563,4,9x4
2,48,64,31.595034349764976,7128.537170410156,16993,64,64,45.21406982347015,1091.2953093998017,9453,33348,76.80910417323513,5,5x4
2,48,64,41.92794593946179,820.2267456054688,11148,64,64,44.567875647668394,1381.734343998016,9770,25167,86.4958215871302,5,4x9
2,48,64,30.622510367385082,7594.125671386719,18000,64,64,48.13430330162283,1102.5843563988096,7898,34401,78.75681366900791,5,4x5
2,48,64,38.65290474786199,1248.2861785888672,12022,64,64,44.567875647668394,1595.081333705357,10385,27286,83.22078039553038,5,9x4
2,48,64,28.433646076251424,8761.97932434082,20990,64,64,49.318744326054755,905.5607173859127,7533,37038,77.75239040230618,6,5x4
2,48,64,30.64667543475084,8527.724502563477,18107,64,64,49.25990264388661,815.5691499255952,7106,34374,79.90657807863745,6,4x5
2,48,64,47.82266228530281,633.2907562255859,8894,64,64,50.52829449774819,1326.9883432539682,6502,22097,98.350956783051,6,4x9
2,48,64,34.68889771073177,6706.385604858398,13851,64,64,50.82936918304033,1000.5294363839286,7241,30388,85.51826689377211,7,5x4
2,48,64,38.5265091670647,809.1337432861328,16202,64,64,48.62408140192199,1707.1982886904761,8651,27375,87.1505905689867,6,9x4
2,48,64,29.72154195011338,8162.341201782227,19390,64,64,51.83247966254896,823.9625806051587,6655,35440,81.55402161266234,8,5x4
2,48,64,39.62273276904474,921.9717712402344,14548,64,64,46.88798037612428,1758.058376736111,9954,26622,86.51071314516902,7,9x4
2,48,64,34.912965305986546,6553.810195922852,12996,64,64,51.378397212543554,946.7161458333334,6949,30194,86.2913625185301,9,5x4
