network_frequency,rn_r_tracker_outstanding,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_w_tracker_outstanding,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,Topo
2,32,51.60061021,299.1369476,4133,52,51.2992396,1701.833349,7864,20479,102.8998498,9x4
2,24,51.35044074,275.1630249,3262,48,51.04807122,1728.585751,7590,20578,102.398512,9x4
2,40,51.29015848,280.0110779,4072,48,50.95986176,1727.675099,8023,20602,102.2500202,9x4
2,48,51.19750012,226.1886444,3049,40,50.89453183,1684.451032,6384,20639,102.0920319,9x4
2,32,51.18250598,259.0269165,3502,44,50.87947947,1664.599268,7532,20645,102.0619854,9x4
2,36,51.17251476,256.7359009,3474,44,50.86944951,1679.790907,7664,20649,102.0419643,9x4
2,68,51.17001757,304.3598328,3680,52,51.04807122,1710.016586,8009,20650,102.2180888,9x4
2,24,51.16752062,293.3995819,3716,52,51.02031536,1668.268291,8219,20655,102.187836,9x4
2,24,51.1251097,253.3899536,3409,44,50.82186115,1738.967603,7129,20668,101.9469709,9x4
2,44,51.08774665,276.0891418,4130,48,51.11379618,1731.038194,7318,20683,102.2015428,9x4
2,24,51.05043817,217.291626,3048,40,50.74690265,1704.768741,6697,20698,101.7973408,9x4
2,64,51.04795287,288.3844452,3384,52,50.76187666,1750.753984,8206,20699,101.8098295,9x4
2,52,50.96855101,263.9949493,3482,44,50.66470328,1699.276135,7098,20731,101.6332543,9x4
2,32,50.94873913,290.9242249,3359,48,50.64481625,1706.341254,8164,20739,101.5935554,9x4
2,56,50.94131364,287.5823975,3395,52,50.63736264,1751.064019,8191,20742,101.5786763,9x4
2,48,50.90421865,261.8833313,3392,48,50.51593011,1726.161675,8291,20757,101.4201488,9x4
2,28,50.88692614,253.9331512,2973,48,50.58276977,1720.078931,8013,20764,101.4696959,9x4
2,52,50.87951866,312.3991241,4107,52,50.82686626,1738.639168,8131,20767,101.7063849,9x4
2,56,50.87704998,245.5534515,2856,44,50.46406571,1714.101904,7881,20768,101.3411157,9x4
2,72,50.84251358,256.9060669,3281,44,50.53819036,1722.349067,7465,20782,101.3807039,9x4
2,52,50.83758363,216.7135315,2918,40,50.53324195,1715.361762,6667,20784,101.3708256,9x4
2,64,50.83758363,242.6116028,3538,44,50.42215817,1722.192956,7687,20784,101.2597418,9x4
2,56,50.83758363,281.7206421,3232,48,50.51098605,1745.427424,8267,20784,101.3485697,9x4
2,52,50.83265464,270.9077148,3478,48,50.47146839,1732.498078,8285,20786,101.304123,9x4
2,48,50.78587688,251.2481232,3239,44,50.48134201,1719.705853,7599,20805,101.2672189,9x4
2,24,50.7760399,190.6362457,2850,36,50.47146839,1678.80044,6194,20809,101.2475083,9x4
2,44,50.7760399,257.9029083,3486,44,50.6995432,1680.010014,7488,20809,101.4755831,9x4
2,60,50.74164045,261.4857483,3474,48,50.36065574,1779.392315,8392,20823,101.1022962,9x4
2,36,50.70973982,289.355957,3176,52,50.43201251,1752.460519,8266,20836,101.1417523,9x4
2,72,50.68277829,270.1522675,3595,48,51.04302245,1745.796379,7512,20847,101.7258007,9x4
2,44,50.67053252,204.0712433,2561,40,50.36557041,1723.537001,7001,20852,101.0361029,9x4
2,36,50.65339839,205.8727417,2498,40,50.34837325,1760.799045,7054,20859,101.0017716,9x4
2,64,50.6509516,208.9298096,2963,40,50.34591747,1723.150639,6984,20860,100.9968691,9x4
2,32,50.64850505,191.5800018,2348,40,50.2454364,1749.068096,7453,20861,100.8939414,9x4
2,72,50.63872121,197.8830566,2731,40,50.25766871,1743.362336,7386,20865,100.8963899,9x4
2,44,50.63872121,292.3473816,3491,52,50.41230769,1743.923999,8443,20867,101.0510289,9x4
2,72,50.61427813,178.2861176,2728,36,50.30910952,1702.254201,6270,20875,100.9233876,9x4
2,28,50.60694981,245.7986908,2642,44,50.1916849,1720.242001,8287,20878,100.7986347,9x4
2,36,50.6045075,279.1652985,3189,48,50.2454364,1731.188415,8537,20879,100.8499439,9x4
2,36,50.6045075,335.5735168,4784,56,51.03545117,1701.639741,8063,20879,101.6399587,9x4
2,68,50.6045075,337.598526,4696,56,50.35082927,1723.425905,8395,20881,100.9553368,9x4
2,68,50.58985864,263.2661743,3075,44,50.19656665,1706.373279,8147,20885,100.7864253,9x4
2,68,50.57277901,212.9727325,2864,40,50.18924438,1689.211062,7197,20892,100.7620234,9x4
2,32,50.55814851,323.6744843,4318,56,50.51098605,1757.718192,8346,20898,101.0691346,9x4
2,56,50.53378313,205.6329041,2901,40,50.11857247,1719.164481,7249,20908,100.6523556,9x4
2,44,50.50214324,200.8480225,3032,36,50.19656665,1709.851144,6482,20921,100.6987099,9x4
2,40,50.48269222,254.8423615,3074,44,50.072378,1720.509797,8195,20929,100.5550702,9x4
2,72,50.41957975,325.7651825,4051,56,50.26745885,1717.185903,8539,20955,100.6870386,9x4
2,40,50.39534772,303.5554657,3325,52,50.17460626,1745.437841,8568,20965,100.569954,9x4
2,64,50.35662489,264.8749542,3153,48,49.97540428,1761.19353,8542,20981,100.3320292,9x4
2,64,50.53610941,174.2886047,2373,36,49.95363694,1737.227679,6307,20991,100.4897463,9x4
2,24,50.30589138,364.3440399,4866,60,50.31401414,1761.806904,8410,21002,100.6199055,9x4
2,60,50.30106495,270.2385101,4208,44,50.8093527,1691.479988,7126,21004,101.1104176,9x4
2,52,50.29382704,323.2748718,3813,56,50.15022835,1804.425239,8568,21007,100.4440554,9x4
2,40,50.2721258,195.6139526,2800,40,49.8691661,1721.137835,7793,21016,100.1412919,9x4
2,56,50.23599866,301.0553284,3569,56,50.11613906,1752.283482,8538,21033,100.3521377,9x4
2,60,50.19031208,203.0567169,2805,40,49.79458729,1737.163752,7613,21050,99.98489937,9x4
2,48,50.175902,168.4051971,2254,36,49.79698958,1741.349563,6801,21056,99.97289158,9x4
2,40,50.16629988,176.3462677,2331,36,49.78738183,1766.644066,6637,21060,99.9536817,9x4
2,48,50.18070444,353.1508179,4449,60,50.01899593,1714.175998,8548,21060,100.1997004,9x4
2,68,50.15910069,280.2571564,3461,48,49.8691661,1748.807757,8661,21064,100.0282668,9x4
2,44,50.14710665,351.6814575,4315,60,50.00687951,1780.781281,8591,21068,100.1539862,9x4
2,48,50.13751554,284.6811829,3109,52,49.94396865,1721.576962,8555,21072,100.0814842,9x4
2,48,50.12313576,331.5005493,3880,56,49.89568328,1788.532785,8615,21078,100.018819,9x4
2,28,50.09440092,355.4881592,4277,60,49.92705814,1790.23408,8575,21093,100.0214591,9x4
2,60,50.04658267,172.4339752,2957,36,49.66759696,1743.47137,6861,21110,99.71417962,9x4
2,52,50.02270776,359.3036652,4458,60,49.88121587,1741.311663,8644,21121,99.90392363,9x4
2,68,50.01316417,357.260498,4986,60,50.81685703,1733.097067,8303,21124,100.8300212,9x4
2,36,49.99170441,171.6208496,2349,36,49.61268926,1695.197033,6830,21133,99.60439367,9x4
2,40,49.97979028,365.1003265,4590,60,50.46159863,1719.99273,8453,21138,100.4413889,9x4
2,44,49.96073947,340.6902008,4725,56,50.94225644,1746.090851,7972,21146,100.9029959,9x4
2,64,49.93694638,326.3985138,4474,56,49.77537734,1773.389323,8661,21159,99.71232372,9x4
2,72,49.91080013,295.778717,3168,52,49.63416042,1690.242622,8730,21167,99.54496055,9x4
2,60,49.90367409,306.0041656,3720,52,49.64370912,1779.164962,8737,21170,99.54738321,9x4
2,32,49.84910863,158.1022797,2092,32,49.43448276,1724.141896,6007,21193,99.28359139,9x4
2,28,50.03912943,170.2589111,1995,36,49.46053956,1732.324157,6949,21197,99.49966899,9x4
2,32,49.7663028,430.9810333,4908,68,49.70107858,1709.671999,8624,21229,99.46738138,9x4
2,44,49.73325745,150.7948151,2310,32,49.41791545,1751.481523,6196,21242,99.1511729,9x4
2,56,49.73325745,401.5909119,3973,64,49.57694524,1717.212534,8638,21242,99.31020269,9x4
2,56,49.72382398,357.6689606,4387,60,49.58647194,1769.253426,8756,21246,99.31029592,9x4
2,56,49.70968048,170.5056915,1921,36,49.33052954,1752.823754,7393,21252,99.04021001,9x4
2,36,49.68848031,381.4504089,4768,60,50.4566652,1725.061647,8340,21261,100.1451455,9x4
2,40,49.67200379,434.2669067,5278,68,49.76817743,1697.952598,8677,21268,99.44018122,9x4
2,60,49.64848485,407.4401703,5060,68,49.56742221,1729.949498,8760,21278,99.21590705,9x4
