rn_w_tracker_outstanding,rn_r_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,share_tracker_ostd,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,TotalBandWidth,FinishCycle,eject_queues_len,inject_queues_len,sdma-R-DDR_thoughput,sdma-W-l2m_thoughput,gdam-R-L2M_thoughput,sdma-R-DDR_finish_cycle,sdma-W-l2m_finish_cycle,gdam-R-L2M_finish_cycle,sdma-R-DDR_avg_latency,sdma-W-l2m_avg_latency,gdam-R-L2M_avg_latency,cir_h_total,cir_v_total,Topo
16,16,46.90635263,3377.695847,12101,1000,1000,55.43621464,3339.014709,6648,102.3425673,44744,8,5,110.3096031,94.51583386,112.2857758,18921,22294,18588,429.9071507,136.5823108,129.6181774,34267,511,5x4
16,16,46.56886707,3495.906921,12457,1000,1000,55.90616336,3228.961884,6489,102.4750304,45068,8,5,111.2444302,94.19472508,113.297579,18762,22370,18422,434.0849994,136.9551695,121.9358518,34000,361,4x5
16,16,70.70640593,502.0219421,3667,1000,1000,39.44387602,6864.350769,14304,110.1502819,53180,8,5,0,0,0,0,0,0,0,0,0,6,830,4x9
16,16,62.97375533,453.0867767,6590,1000,1000,37.93415817,7660.616714,15360,100.9079135,55296,8,5,0,0,0,0,0,0,0,0,0,80470,176,9x4
20,16,46.43276117,3526.219101,12449,1000,1000,55.88530619,3307.809158,6493,102.3180674,45200,8,5,111.2385013,93.23610619,112.2254006,18763,22600,18598,419.5130627,137.2751792,138.7564087,34706,610,4x5
20,16,46.39372653,3362.705292,12376,1000,1000,54.97410087,3486.022842,6815,101.3678274,45238,8,5,109.3903564,94.30855301,110.4204846,19080,22343,18902,431.9175764,136.5526667,134.0196247,33916,623,5x4
20,16,71.118828,491.4225311,3532,1000,1000,39.44090875,6848.134781,14304,110.5597367,53184,8,5,0,0,0,0,0,0,0,0,0,5,757,4x9
24,16,46.52753867,3423.664276,12381,1000,1000,55.62442311,3321.152451,6578,102.1519618,45108,8,5,110.68399,93.42626585,111.3809702,18857,22554,18739,426.5930332,136.8765642,132.5330553,34440,351,4x5
24,16,46.31789974,3452.02832,12484,1000,1000,55.52721881,3406.324463,6612,101.8451186,45312,8,5,110.49063,93.00564972,111.5357238,18890,22656,18713,432.6717773,136.1016887,129.0106709,34937,299,5x4
16,16,67.45856922,773.4635315,3894,1000,1000,39.98688175,6557.187027,13941,107.445451,52458,8,5,319.8218765,539.4603215,0,26229,15550,0,387.9908447,141.1129456,0,3,950,4x9
