network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,48,64,18.989023727585582,11135.6573621879,33585,64,64,25.25483286839916,7987.724792260945,27691,60000,44.24385659598474,2,1,5x4
2,48,64,23.514079924607895,9399.584835946685,24059,64,64,34.165298013245035,5651.498224448338,16320,60000,57.679377937852934,2,1,4x5
2,48,64,44.07697728795904,728.8953848974166,8385,64,64,46.70342704513559,2050.4851032151,9110,60000,90.78040433309462,2,1,4x9
2,48,64,18.61911190053286,4195.49989315587,31850,64,64,20.22878199851033,10923.356857151717,36721,60000,38.847893899043186,2,1,9x4
2,48,64,28.7548949706576,9033.421783447266,16672,64,64,41.39696799550814,2439.6790984623017,11940,36626,70.15186296616574,3,1,4x5
2,48,64,25.278302796528447,9940.498046815394,21381,64,64,33.09371893936965,3579.9123391722214,18323,60000,58.3720217358981,3,1,5x4
2,48,64,33.204851325247795,8211.999221801758,13565,64,64,49.929473225946886,1787.3194599454366,6972,31739,83.13432455119468,4,1,4x5
2,48,64,31.24109164581099,8518.817642211914,14010,64,64,43.79819238766071,2253.7003968253966,10783,33723,75.0392840334717,4,1,5x4
2,48,64,46.501702376385246,689.2360867375746,7178,64,64,48.553203499858874,1892.9699886837495,7918,60000,95.05490587624412,3,1,4x9
2,48,64,21.754688796680497,2164.824691772461,29026,64,64,21.530913642052564,8302.162822420634,33365,48358,43.285602438733065,3,1,9x4
2,48,64,33.857797868905394,8285.966354370117,13102,64,64,49.35175711212049,1636.317878844246,7824,31129,83.20955498102589,5,1,5x4
2,48,64,33.996109454026715,7988.67057800293,13182,64,64,50.296852158659,1647.7224857390872,7008,60000,84.29296161268572,5,1,4x5
2,48,64,46.44756081534462,648.3419799804688,7618,64,64,47.10624315443592,1889.3812779017858,8601,22747,93.55380396978055,4,1,4x9
