network_frequency,rn_w_tracker_outstanding,share_tracker_ostd,WriteBandWidth,WriteAvgLatency,WriteMaxLatency,rn_r_tracker_outstanding,ro_tracker_ostd,ReadBandWidth,ReadAvgLatency,ReadMaxLatency,FinishTime,TotalBandWidth,eject_queues_len,inject_queues_len,Topo
2,24,64,38.35475338,7041.200605,15652,24,64,50.81503759,1576.450156,7088,42877,89.16979097,8,2,5x4
2,24,64,39.08956435,7082.184541,15696,24,64,50.85327314,1570.978644,7064,42073,89.94283748,8,2,4x5
2,24,64,49.01400456,79.1653418,737,24,64,45.97290403,2755.112906,10607,35631,94.98690859,8,2,4x9
2,24,64,48.45903364,73.58333984,1242,24,64,47.57063671,2563.135239,9521,34428,96.02967035,8,2,9x4
2,28,64,38.7759449,6980.528232,15615,24,64,50.63736264,1552.852569,7200,42413,89.41330754,8,2,5x4
2,28,64,38.4537752,7148.597646,15657,24,64,50.81026219,1573.121163,7091,42766,89.26403739,8,2,4x5
2,28,64,48.98027083,83.66501953,745,24,64,46.10488616,2753.105923,10491,35530,95.08515699,8,2,4x9
2,28,64,47.63621562,72.82048828,1063,24,64,47.39826422,2583.020222,9657,34552,95.03447984,8,2,9x4
2,32,64,38.85226464,6993.82584,15447,24,64,50.65950403,1562.422447,7186,42330,89.51176867,8,2,5x4
2,32,64,39.12597015,7072.86165,15765,24,64,50.96192032,1574.184077,6996,42034,90.08789047,8,2,4x5
2,32,64,48.29078418,82.16842773,673,24,64,46.06429626,2760.012784,10538,35561,94.35508044,8,2,4x9
2,36,64,38.60236081,7025.479414,15560,24,64,50.87560379,1573.068044,7050,42603,89.4779646,8,2,5x4
2,36,64,39.03554751,7079.200518,15493,24,64,50.87719959,1579.300702,7049,42131,89.91274709,8,2,4x5
2,32,64,48.54607774,73.18992188,1008,24,64,47.43291613,2632.45493,9611,34527,95.97899387,8,2,9x4
2,40,64,39.30242042,6847.503408,14806,24,64,50.63736264,1554.739968,7200,41847,89.93978306,8,2,5x4
2,40,64,39.16337995,7098.282549,15664,24,64,51.08550912,1587.61704,6919,41994,90.24888906,8,2,4x5
2,36,64,49.25122096,83.94807617,743,24,64,46.21128205,2724.781625,10417,35449,95.46250301,8,2,4x9
2,36,64,47.9344646,77.14704102,989,24,64,47.69653307,2581.686158,9423,34338,95.63099767,8,2,9x4
2,44,64,39.38745583,6944.737793,15104,24,64,50.6911682,1576.951054,7166,41757,90.07862402,8,2,5x4
2,44,64,39.08769921,7103.044736,15708,24,64,50.74667584,1588.798473,7131,42075,89.83437505,8,2,4x5
2,40,64,47.66615988,92.29214844,1133,24,64,46.12979922,2727.662139,10484,35511,93.79595909,8,2,4x9
2,40,64,47.86724319,77.27958008,1246,24,64,47.62930554,2570.329151,9474,34386,95.49654873,8,2,9x4
2,48,64,39.80273547,6900.319766,14927,24,64,51.12415293,1562.064571,6895,41323,90.9268884,8,2,5x4
2,48,64,39.74287447,6947.221846,15232,24,64,50.91073446,1553.046461,7028,41384,90.65360893,8,2,4x5
2,44,64,48.55102134,92.13091797,741,24,64,46.09178483,2723.495827,10513,35540,94.64280617,8,2,4x9
2,52,64,39.76892082,6836.636865,14850,24,64,51.01962758,1558.46585,6960,41358,90.7885484,8,2,5x4
2,52,64,39.68511566,6932.788672,15291,24,64,51.20323253,1556.903389,6846,41444,90.88834819,8,2,4x5
