Core	TrafID	TaskID	PacketID	SendTick	Addr	SrcRouter	TgtRouter	FlitSrc	FlitTgt	Vnet	TrafSrc	Type	Size	StartCycle	EndCycle	src_Qdelay	dest_Qdelay	ReqCycle	RespCycle	Trace
0	1	0	2	102	0x6980000100	r6	r6	6	6	0	1	W	128	111	114	6	0	0	0	6
0	1	4	3	102	0x6980000180	r6	r6	6	6	0	1	W	128	113	116	6	0	0	0	6
0	0	1	0	100	0x6980000000	r6	r11	6	11	0	1	W	128	107	120	6	0	0	0	6-11
0	0	3	1	100	0x6980000080	r6	r11	6	11	0	1	W	128	109	122	6	0	0	0	6-11
0	2	2	4	104	0x6980000200	r6	r21	6	21	0	1	W	128	115	148	6	0	0	0	6-11-16-21
0	2	5	5	104	0x6980000280	r6	r21	6	21	0	1	W	128	117	150	6	0	0	0	6-11-16-21
0	1	0	6	102	0x6980000100	r6	r6	6	6	1	1	W	128	150	153	1	0	115	148	6-6
0	1	4	7	102	0x6980000180	r6	r6	6	6	1	1	W	128	152	155	1	0	117	150	6-6
0	0	1	8	100	0x6980000000	r6	r11	11	6	1	1	W	128	156	169	1	0	121	154	6-11-11-6
0	0	3	9	100	0x6980000080	r6	r11	11	6	1	1	W	128	158	171	1	0	123	156	6-11-11-6
0	2	2	10	104	0x6980000200	r6	r21	21	6	1	1	W	128	184	217	1	0	149	182	6-11-16-21-21-16-11-6
0	2	5	11	104	0x6980000280	r6	r21	21	6	1	1	W	128	186	219	1	0	151	184	6-11-16-21-21-16-11-6
