req_id,dma_id,ddr_id,cmd,issue_time,sn_receive_time,sn_send_data,ack_time,read_flit_recv,write_flit_recv,BW
1,0,0,R,0.00,40.00,195.00,,235.00;235.50,,1.0870488322717622
2,0,0,R,1.00,41.00,196.00,,236.00;236.50,,2.1649048625792813
3,0,0,R,2.00,42.00,197.00,,237.00;237.50,,3.2336842105263157
4,0,0,R,3.00,43.00,198.00,,238.00;238.50,,4.29350104821803
5,0,0,R,4.00,44.00,199.00,,239.00;239.50,,5.34446764091858
6,0,0,R,5.00,45.00,200.00,,240.00;240.50,,6.386694386694387
7,0,0,R,6.00,46.00,201.00,,241.00;241.50,,7.420289855072464
8,0,0,R,7.00,47.00,202.00,,242.00;242.50,,8.445360824742268
9,0,0,R,8.00,48.00,203.00,,243.00;243.50,,9.462012320328542
10,0,0,R,9.00,49.00,204.00,,244.00;244.50,,10.47034764826176
11,0,0,R,10.00,50.00,205.00,,245.00;245.50,,11.470468431771893
12,0,0,R,11.00,51.00,206.00,,246.00;246.50,,12.462474645030426
13,0,0,R,12.00,52.00,207.00,,247.00;247.50,,13.446464646464646
14,0,0,R,13.00,53.00,208.00,,248.00;248.50,,14.422535211267606
15,0,0,R,14.00,54.00,209.00,,249.00;249.50,,15.390781563126252
16,0,0,R,15.00,55.00,210.00,,250.00;250.50,,16.35129740518962
17,1,0,R,16.00,56.00,211.00,,251.00;251.50,,17.30417495029821
18,1,0,R,17.00,57.00,212.00,,252.00;252.50,,18.249504950495048
19,1,0,R,18.00,58.00,213.00,,253.00;253.50,,19.187376725838263
20,1,0,R,19.00,59.00,214.00,,254.00;254.50,,20.11787819253438
21,1,0,R,20.00,60.00,215.00,,255.00;255.50,,21.041095890410958
22,1,0,R,21.00,61.00,216.00,,256.00;256.50,,21.957115009746587
23,1,0,R,22.00,62.00,217.00,,257.00;257.50,,22.866019417475727
24,1,0,R,23.00,63.00,218.00,,258.00;258.50,,23.7678916827853
25,1,0,R,24.00,64.00,219.00,,259.00;259.50,,24.66281310211946
26,1,0,R,25.00,65.00,220.00,,260.00;260.50,,25.550863723608444
27,1,0,R,26.00,66.00,221.00,,261.00;261.50,,26.432122370936902
28,1,0,R,27.00,67.00,222.00,,262.00;262.50,,27.30666666666667
29,1,0,R,28.00,68.00,223.00,,263.00;263.50,,28.174573055028464
30,1,0,R,29.00,69.00,224.00,,264.00;264.50,,29.035916824196597
31,1,0,R,30.00,70.00,225.00,,265.00;265.50,,29.890772128060263
32,1,0,R,31.00,71.00,226.00,,266.00;266.50,,30.73921200750469
33,0,0,R,236.00,276.00,431.00,,471.00;471.50,,17.91728525980912
34,0,0,R,237.00,277.00,432.00,,472.00;472.50,,18.42116402116402
35,0,0,R,238.00,278.00,433.00,,473.00;473.50,,18.922914466737065
36,0,0,R,239.00,279.00,434.00,,474.00;474.50,,19.42255005268704
37,0,0,R,240.00,280.00,435.00,,475.00;475.50,,19.920084121976867
38,0,0,R,241.00,281.00,436.00,,476.00;476.50,,20.415529905561385
39,0,0,R,242.00,282.00,437.00,,477.00;477.50,,20.90890052356021
40,0,0,R,243.00,283.00,438.00,,478.00;478.50,,21.400208986415883
41,0,0,R,244.00,284.00,439.00,,479.00;479.50,,21.88946819603754
42,0,0,R,245.00,285.00,440.00,,480.00;480.50,,22.37669094693028
43,0,0,R,246.00,286.00,441.00,,481.00;481.50,,22.86188992731049
44,0,0,R,247.00,287.00,442.00,,482.00;482.50,,23.345077720207254
45,0,0,R,248.00,288.00,443.00,,483.00;483.50,,23.826266804550155
46,0,0,R,249.00,289.00,444.00,,484.00;484.50,,24.30546955624355
47,0,0,R,250.00,290.00,445.00,,485.00;485.50,,24.7826982492276
48,0,0,R,251.00,291.00,446.00,,486.00;486.50,,25.257965056526206
49,1,0,R,252.00,292.00,447.00,,487.00;487.50,,25.73128205128205
50,1,0,R,253.00,293.00,448.00,,488.00;488.50,,26.202661207778917
51,1,0,R,254.00,294.00,449.00,,489.00;489.50,,26.67211440245148
52,1,0,R,255.00,295.00,450.00,,490.00;490.50,,27.139653414882773
53,1,0,R,256.00,296.00,451.00,,491.00;491.50,,27.60528992878942
54,1,0,R,257.00,297.00,452.00,,492.00;492.50,,28.069035532994924
55,1,0,R,258.00,298.00,453.00,,493.00;493.50,,28.530901722391086
56,1,0,R,259.00,299.00,454.00,,494.00;494.50,,28.990899898887765
57,1,0,R,260.00,300.00,455.00,,495.00;495.50,,29.44904137235116
58,1,0,R,261.00,301.00,456.00,,496.00;496.50,,29.905337361530716
59,1,0,R,262.00,302.00,457.00,,497.00;497.50,,30.359798994974874
60,1,0,R,263.00,303.00,458.00,,498.00;498.50,,30.812437311935806
61,1,0,R,264.00,304.00,459.00,,499.00;499.50,,31.263263263263262
62,1,0,R,265.00,305.00,460.00,,500.00;500.50,,31.71228771228771
63,1,0,R,266.00,306.00,461.00,,501.00;501.50,,32.15952143569292
64,1,0,R,267.00,307.00,462.00,,502.00;502.50,,32.60497512437811
65,0,0,R,472.00,512.00,667.00,,707.00;707.50,,23.519434628975265
66,0,0,R,473.00,513.00,668.00,,708.00;708.50,,23.84756527875794
67,0,0,R,474.00,514.00,669.00,,709.00;709.50,,24.17477096546864
68,0,0,R,475.00,515.00,670.00,,710.00;710.50,,24.501055594651653
69,0,0,R,476.00,516.00,671.00,,711.00;711.50,,24.82642304989459
70,0,0,R,477.00,517.00,672.00,,712.00;712.50,,25.150877192982456
71,0,0,R,478.00,518.00,673.00,,713.00;713.50,,25.474421864050456
72,0,0,R,479.00,519.00,674.00,,714.00;714.50,,25.79706088173548
